longitude,latitude
-87.60916766214955,41.84451717813025 
-87.60900627146938,41.84410647009398 
-87.6088670137098,41.84380438360743 
-87.60872156081648,41.84330772777204 
-87.60839135989272,41.84282245609141 
-87.60801956188496,41.84230554481001 
-87.6079766557274,41.84164638099073 
-87.60789016476008,41.841131270664874 
-87.60757583126387,41.84063822012952 
-87.60671361513975,41.84050343637542 
-87.60744220350448,41.840418505566596 
-87.60745016249727,41.840348150225395 
-87.6070952300635,41.839512037765324 
-87.60682817414478,41.83937313583088 
-87.6066204733688,41.83924284161879 
-87.6064679500338,41.839100822032144 
-87.60470984484891,41.83896006145735 
-87.60419546273982,41.8395543725384 
-87.60612905109754,41.83843916892108 
-87.60610453594293,41.83784275792806 
-87.6060191456668,41.83709982014393 
-87.60584678659262,41.836444016327604 
-87.60530826792214,41.83568067000142 
-87.60455786851077,41.83499197045582 
-87.60499603130611,41.83426404342431 
-87.60463015101621,41.833443331896135 
-87.60422717999832,41.83313680107197 
-87.60361099735053,41.83302182052834 
-87.6031284811347,41.832837539036326 
-87.60270433427128,41.83233211576045 
-87.60276542470062,41.831771321881014 
-87.60279792683366,41.83136620629781 
-87.60620267768667,41.831238202292134 
-87.60749035996226,41.83121712014999 
-87.61063335778184,41.83118622542001 
-87.61108240937088,41.829493834770474 
-87.61129609251094,41.828726103775665 
-87.6114830835377,41.82805426482759 
-87.61184008667637,41.826766350196024 
-87.6121279287,41.8257227421971 
-87.6126242723945,41.82389080517135 
-87.61547482917396,41.82385537231098 
-87.61725854541707,41.82383011791209 
-87.6185513181061,41.82381291801811 
-87.62039535937376,41.82379026692264 
-87.62234636528846,41.82376591682915 
-87.62432122057021,41.82374128261319 
-87.62531936393765,41.82372867716026 
-87.62608002879398,41.8237187363846 
-87.627224939577,41.82370489637566 
-87.62830656308215,41.823687582934824 
-87.62902443060024,41.82525934879928 
-87.62909202843329,41.82733017648514 
-87.62893520543312,41.82763876826659 
-87.62894162228869,41.828254950558154 
-87.6289534503892,41.82884279024684 
-87.62897263322138,41.82958984244916 
-87.62899941196915,41.83064139003593 
-87.62924490109565,41.83097146611805 
-87.62956105279402,41.83097085150512 
-87.62961560755063,41.832976462105876 
-87.62964450668944,41.83416451754617 
-87.629662398187,41.83481301369886 
-87.62972206128597,41.83703485168352 
-87.62978240744162,41.839099865525235 
-87.62981523196025,41.840338485341405 
-87.62986099277367,41.841835079620594 
-87.62988457174264,41.84278617351453 
-87.6299306071058,41.844346292949076 
-87.62996524439643,41.84554483841737 
-87.62872700195979,41.84556186722146 
-87.62765212479316,41.84557628907969 
-87.62637708858657,41.84559649432633 
-87.62614381812257,41.84560028551727 
-87.6255389038337,41.84561023997993 
-87.62417259010917,41.84563048939017 
-87.62213772958515,41.845660470963985 
-87.61783987811785,41.845726258792666 
-87.61692091129596,41.845644514377646 
-87.61657183469312,41.845639043341876 
-87.61647763859752,41.845571879753464 
-87.61623779940655,41.845200236983864 
-87.61613940344323,41.84512805234193 
-87.61600840419449,41.845093123124634 
-87.61500079131055,41.84516621703666 
-87.61192963328182,41.84522518132672 
-87.61091654921505,41.84526644902026 
-87.60914087617012,41.8446925034611
-87.5952614717183,41.81694276559408 
-87.59624880537447,41.816832942683064 
-87.59688282029946,41.81692798300739 
-87.59853718255918,41.816909514910904 
-87.59959063949388,41.816891825006394 
-87.60095720988872,41.81687968979791 
-87.60185177781581,41.8168704046262 
-87.60275520415344,41.81686001952772 
-87.60361967480787,41.81685069545795 
-87.60485774446751,41.816835949059715 
-87.60562269704063,41.81682789176307 
-87.606124223522,41.81682371333189 
-87.60671660883158,41.817290969540544 
-87.60672984729013,41.817800911376665 
-87.60674735823706,41.81843914739708 
-87.6067528264812,41.81907881651855 
-87.60677170452449,41.81957187461968 
-87.60680883367007,41.820487201035306 
-87.60684469473264,41.82201181422022 
-87.60685918571652,41.82316570805976 
-87.60691604357245,41.823960064818166 
-87.60958706836169,41.8239233302702 
-87.61257695181631,41.82408938784097 
-87.61205793721943,41.82597292374984 
-87.61168992269698,41.82730778374622 
-87.61141940967293,41.82828304161566 
